user_id,source,category
user_id,other,category
1840e0b9d4,other,Продукты
4e4f90fcfb,other,Электроника
afea8d72fc,other,Электроника
373a6055fe,other,Бытовая техника
9b2ab046f3,other,Электроника
9f39d307c3,other,Электроника
44edeffc91,other,Продукты
704474fa2d,other,Продукты
1de31be403,other,Бытовая техника
b71f36a5e4,other,Продукты
79843a685a,other,Продукты
ff68cee0d6,other,Бытовая техника
e8447c40e2,other,Досуг
98d290be27,other,Электроника
fa0079a5a8,other,Досуг
22d2f03a17,other,Досуг
3f8e1ccd3f,other,Электроника
81a9988b83,other,Электроника
65f44a2eb7,other,Досуг
5f8fbb0149,other,Бытовая техника
3ecff691fd,other,Электроника
dd0e912251,other,Электроника
9250593d55,other,Электроника
37c4e090e4,other,Электроника
22fa3ea76f,other,Электроника
73b876b237,other,Электроника
f983a69d67,other,Товары для животных
4ea17212f8,other,Продукты
c6de96a5e2,other,Товары для животных
d8e3bcee53,other,Продукты
680aa815f9,other,Продукты
4a92a68cf9,other,Электроника
905e60cb52,other,Бытовая техника
393bcfb298,other,Продукты
06d450cc57,other,Электроника
b60ce22f17,other,Электроника
6f159c4c2e,other,Товары для животных
564202f6bd,other,Электроника
1908683775,other,Электроника
8fd957a463,other,Продукты
72e0a3f1d0,other,Бытовая техника
7f5f56e517,other,Досуг
bc1a0a7e26,other,Досуг
17639fe89d,other,Досуг
74c9201f84,other,Электроника
bc4ebda0df,other,Досуг
fe4615dd15,other,Досуг
d2c560746d,other,Бытовая техника
f0a93d52d2,other,Электроника
fe52ded300,other,Электроника
dbe70d84e4,other,Строительство и ремонт
f660dbcc3f,other,Электроника
f93283c9ee,other,Бытовая техника
66bea9bf58,other,Бытовая техника
111c52d9bc,other,Продукты
16dc76e94d,other,Электроника
87f37b380c,other,Продукты
830421d975,other,Продукты
7d6c62f0a2,other,Бытовая техника
77465a0b61,other,Бытовая техника
ee9eb52181,other,Товары для животных
871c1fa9ae,other,Продукты
03b91dba06,other,Электроника
6cb42b2632,other,Бытовая техника
9ab8f3bbb8,other,Бытовая техника
63df9ee9d3,other,Электроника
2ffd6c724d,other,Продукты
af24cffd03,other,Электроника
421149bb9a,other,Строительство и ремонт
24300c6d1c,other,Электроника
9ca11a651f,other,Электроника
b7e640032f,other,Электроника
3691ad282b,other,Электроника
00ea2f7484,other,Электроника
6f198ac1c9,other,Бытовая техника
0d479d4259,other,Электроника
b461051101,other,Досуг
d39a1d56c3,other,Бытовая техника
316ab03143,other,Товары для животных
78ed39a415,other,Электроника
19d1e4e036,other,Товары для животных
9e765c6822,other,Продукты
ddd50eaa45,other,Электроника
c21b82499e,other,Электроника
da79d9ff30,other,Товары для животных
eded5c6792,other,Досуг
e3654c7f1a,other,Досуг
d20bf10c78,other,Бытовая техника
12de58d8e6,other,Продукты
de85ea0eb6,other,Электроника
dfe6f4ebb4,other,Бытовая техника
9d25ac3886,other,Досуг
d47dd8b814,other,Электроника
c5e1bf636a,other,Электроника
a86e69db63,other,Продукты
91802f78b2,other,Электроника
152ea9bb42,other,Бытовая техника
06569907e6,other,Бытовая техника
9f5bf9b73f,other,Строительство и ремонт
ec11793734,other,Продукты
0cf6ee6c84,other,Бытовая техника
f9a3ef9ac2,other,Продукты
716a1b4e10,other,Продукты
426fa041ad,other,Электроника
c0cd6e93e6,other,Электроника
85ff218333,other,Строительство и ремонт
f537f6c8ea,other,Бытовая техника
749e8694c5,other,Товары для животных
29586e4061,other,Продукты
e9eaffa80a,other,Бытовая техника
da237781d5,other,Продукты
b7195283e1,other,Товары для животных
62f37b821c,other,Досуг
69ae0afab1,other,Продукты
7fa3bf64b4,other,Досуг
4e603d8878,other,Строительство и ремонт
6812661e1c,other,Электроника
6aff7a1677,other,Бытовая техника
88afad2ad9,other,Продукты
0fa7c5b19c,other,Товары для животных
bed9ab14bd,other,Товары для животных
397005e41e,other,Бытовая техника
80023b95ac,other,Электроника
9fb91262f8,other,Бытовая техника
f34a165ad2,other,Электроника
5b7c1e9769,other,Бытовая техника
5655da0e0b,other,Электроника
b15321ea7c,other,Продукты
0d4f4664e0,other,Продукты
a2468d6c33,other,Электроника
a8660dcfae,other,Бытовая техника
a7bfa5d0cc,other,Досуг
6e6293a54b,other,Досуг
48b9ea8b65,other,Электроника
fb9acee964,other,Бытовая техника
69775511be,other,Досуг
95bf67fda9,other,Продукты
ca899d23dd,other,Бытовая техника
2de051e056,other,Электроника
0da9ca70fe,other,Продукты
fcc5bebc42,other,Бытовая техника
51f6ce88cc,other,Бытовая техника
74a55eee1d,other,Электроника
69475b45df,other,Бытовая техника
816800e62f,other,Бытовая техника
28ce699720,other,Бытовая техника
f0d57ef042,other,Электроника
c577b4b31e,other,Продукты
4038202869,other,Электроника
1405e18ffb,other,Досуг
c0cc01a6a4,other,Электроника
4cd8bde9ac,other,Продукты
8c5eeb346a,other,Бытовая техника
853f7ea287,other,Продукты
3b1fb2ad3f,other,Электроника
8c45fdbf5a,other,Электроника
a6a4ff39f8,other,Бытовая техника
55effa36e0,other,Продукты
51d4f4b9d5,other,Бытовая техника
33a4dbd193,other,Электроника
bc2b6ade51,other,Электроника
e371c40a07,other,Электроника
74d3a4830b,other,Продукты
fceaddb1f5,other,Электроника
63f9ec63df,other,Бытовая техника
a7091d1405,other,Бытовая техника
c74d0b4602,other,Электроника
a8c4da0681,other,Электроника
47ec449fbe,other,Строительство и ремонт
9b63ed579f,other,Строительство и ремонт
508e26d325,other,Электроника
9cdc26ff6c,other,Электроника
be8c8f1a63,other,Продукты
bc40fc5c3b,other,Продукты
5bc256883c,other,Электроника
800ad1974f,other,Электроника
36b0b3a179,other,Бытовая техника
fbcb38042a,other,Бытовая техника
b3fe11defe,other,Продукты
1909ff3b18,other,Продукты
cc85b81371,other,Продукты
36d248e31c,other,Продукты
84b1b23768,other,Досуг
44174c696c,other,Продукты
2e8723f652,other,Продукты
2ffcf27605,other,Бытовая техника
94e132ac2a,other,Досуг
24c047fa51,other,Электроника
30fa49eb81,other,Бытовая техника
d9a640bee2,other,Электроника
8684af0a5d,other,Досуг
bbec49524b,other,Электроника
e95d728116,other,Продукты
5392a9dd06,other,Строительство и ремонт
8c9c7efbdb,other,Бытовая техника
8e7cb8744a,other,Продукты
c1a0da9976,other,Электроника
9e7126c1f7,other,Строительство и ремонт
49e9a83a56,other,Электроника
b3391af5f3,other,Бытовая техника
9c4d9e37b8,other,Электроника
1eee1b1995,other,Электроника
d61df629df,other,Продукты
f67f61db9e,other,Электроника
73d9a7f6d5,other,Продукты
5ebea046cd,other,Электроника
eb7ff574cc,other,Электроника
ccfa85981e,other,Бытовая техника
3def3c47e0,other,Электроника
56183e3be7,other,Продукты
5a8c6a6214,other,Досуг
f99c733c58,other,Электроника
